data,qtd_casual,qtd_registrado,qtd_total
2021-01-01,258,516,774
2021-01-02,2568,2562,5130
2021-01-03,373,926,1299
2021-01-04,716,1809,2525
2021-01-05,859,1693,2552
2021-01-06,1108,1520,2628
2021-01-07,970,1870,2840
2021-01-08,591,1897,2488
2021-01-09,1228,2272,3500
2021-01-10,1238,2262,3500
2021-01-11,492,1960,2452
2021-01-12,691,2387,3078
2021-01-13,845,2433,3278
2021-01-14,839,2338,3177
2021-01-15,681,2096,2777
2021-01-16,1527,2498,4025
2021-01-17,1178,2075,3253
2021-01-18,1007,1957,2964
2021-01-19,947,1916,2863
2021-01-20,807,1415,2222
2021-01-21,847,2109,2956
2021-01-22,1072,2393,3465
2021-01-23,963,2066,3029
2021-01-24,947,1951,2898
2021-01-25,418,1631,2049
2021-01-26,354,1318,1672
2021-01-27,737,2224,2961
2021-01-28,506,1695,2201
2021-01-29,657,1765,2422
2021-01-30,1214,2209,3423
2021-01-31,221,597,818
2021-02-01,156,630,786
2021-02-02,276,945,1221
2021-02-03,528,1574,2102
2021-02-04,658,1984,2642
2021-02-05,1048,2458,3506
2021-02-06,1760,2885,4645
2021-02-07,561,1313,1874
2021-02-08,613,1739,2352
2021-02-09,685,2331,3016
2021-02-10,408,1535,1943
2021-02-11,406,1443,1849
2021-02-12,624,1883,2507
2021-02-13,158,552,710
2021-02-14,690,1343,2033
2021-02-15,636,1709,2345
2021-02-16,537,1861,2398
2021-02-17,400,1147,1547
2021-02-18,127,447,574
2021-02-19,389,1306,1695
2021-02-20,683,1607,2290
2021-02-21,758,1758,2516
2021-02-22,247,1058,1305
2021-02-23,776,2104,2880
2021-02-24,1422,3043,4465
2021-02-25,1048,2540,3588
2021-02-26,944,2245,3189
2021-02-27,1834,2567,4401
2021-02-28,269,641,910
2021-03-01,601,1509,2110
2021-03-02,803,2154,2957
2021-03-03,1323,2854,4177
2021-03-04,864,2379,3243
2021-03-05,821,2213,3034
2021-03-06,1991,2478,4469
2021-03-07,1577,2159,3736
2021-03-08,933,2239,3172
2021-03-09,1718,3028,4746
2021-03-10,2006,3452,5458
2021-03-11,2438,3674,6112
2021-03-12,2182,3235,5417
2021-03-13,3923,3309,7232
2021-03-14,3164,2851,6015
2021-03-15,956,2134,3090
2021-03-16,775,2138,2913
2021-03-17,1220,2637,3857
2021-03-18,369,1224,1593
2021-03-19,1439,2637,4076
2021-03-20,3905,3427,7332
2021-03-21,3709,3492,7201
2021-03-22,1871,2858,4729
2021-03-23,1866,3193,5059
2021-03-24,379,1242,1621
2021-03-25,1592,3082,4674
2021-03-26,3491,4047,7538
2021-03-27,7636,4594,12230
2021-03-28,1720,1793,3513
2021-03-29,2637,3364,6001
2021-03-30,4371,4233,8604
