Data,Temperatura mínima diária,Temperatura máxima diária,Vento constante máximo,Rajada de vento máxima,Precipitação diária total,Espessura de neve,Pressão,Ícone,Descrição
01/01/2021,2°C,6°C,24 Km/h,,"11,6mm",,"1030,0mb",,Chuva
02/01/2021,2°C,14°C,28 Km/h,42 Km/h,"20,5mm",,"1015,0mb",,Chuva
03/01/2021,3°C,14°C,21 Km/h,,"4,8mm",,"1016,8mb",,Chuva
04/01/2021,1°C,8°C,,,"2,2mm",,"1016,0mb",,eventos climáticos não informados
05/01/2021,1°C,8°C,24 Km/h,,0mm,,"1014,1mb",,Chuva
06/01/2021,4°C,7°C,35 Km/h,48 Km/h,"0,7mm",,"1018,6mb",,eventos climáticos não informados
07/01/2021,1°C,8°C,32 Km/h,52 Km/h,0mm,,"1022,1mb",,eventos climáticos não informados
08/01/2021,2°C,5°C,21 Km/h,,0mm,,"1020,6mb",,eventos climáticos não informados
09/01/2021,1°C,2°C,24 Km/h,,0mm,,"1012,4mb",,eventos climáticos não informados
10/01/2021,4°C,5°C,26 Km/h,48 Km/h,0mm,,"1019,3mb",,eventos climáticos não informados
11/01/2021,0°C,4°C,5 Km/h,,0mm,,"1027,0mb",,eventos climáticos não informados
12/01/2021,-1°C,4°C,9 Km/h,,0mm,,"1023,1mb",,eventos climáticos não informados
13/01/2021,-1°C,4°C,9 Km/h,,0mm,,"1020,2mb",,eventos climáticos não informados
14/01/2021,0°C,5°C,11 Km/h,,0mm,,"1011,9mb",,eventos climáticos não informados
15/01/2021,0°C,13°C,11 Km/h,,0mm,,"1011,4mb",,eventos climáticos não informados
16/01/2021,1°C,12°C,24 Km/h,34 Km/h,"4,3mm",,"1002,2mb",,Chuva
17/01/2021,1°C,4°C,,,0mm,,"1004,6mb",,eventos climáticos não informados
18/01/2021,3°C,6°C,15 Km/h,,0mm,,"1008,5mb",,eventos climáticos não informados
19/01/2021,2°C,5°C,15 Km/h,,0mm,,"1019,0mb",,eventos climáticos não informados
20/01/2021,1°C,12°C,45 Km/h,78 Km/h,0mm,,"1018,0mb",,eventos climáticos não informados
21/01/2021,-2°C,1°C,13 Km/h,,0mm,,"1018,8mb",,eventos climáticos não informados
22/01/2021,2°C,8°C,11 Km/h,,0mm,,"1006,5mb",,eventos climáticos não informados
23/01/2021,-1°C,11°C,35 Km/h,58 Km/h,0mm,,"1020,3mb",,Neve
24/01/2021,-4°C,4°C,28 Km/h,42 Km/h,0mm,,"1026,7mb",,eventos climáticos não informados
25/01/2021,-4°C,4°C,16 Km/h,,0mm,,"1020,4mb",,Neve Chuva
26/01/2021,0°C,1°C,16 Km/h,,"4,5mm",,,,Neve Chuva
27/01/2021,3°C,3°C,11 Km/h,,"1,7mm",,"1013,3mb",,Chuva
28/01/2021,2°C,4°C,32 Km/h,46 Km/h,0mm,,"1020,1mb",,eventos climáticos não informados
29/01/2021,-3°C,-1°C,41 Km/h,55 Km/h,0mm,,"1026,3mb",,eventos climáticos não informados
30/01/2021,-4°C,-1°C,24 Km/h,35 Km/h,0mm,,"1027,3mb",,eventos climáticos não informados
